match_id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,team1_score,team2_score,team1_wickets,team2_wickets,first_innings_score,second_innings_score
1,2008,Jaipur,2008-04-24,KKR,RR,KKR,field,normal,N,KKR,24,3,KKR_Player_8,Jaipur,181,157,7,6,157,181
2,2008,Hyderabad,2008-04-27,MI,DC,DC,bat,normal,N,MI,12,7,MI_Player_11,Hyderabad,151,139,3,3,151,139
3,2008,Bangalore,2008-04-26,KKR,DEC,DEC,field,normal,N,DEC,4,4,DEC_Player_2,Bangalore,156,160,3,6,156,160
4,2008,Hyderabad,2008-04-02,MI,DC,DC,field,normal,N,MI,4,6,MI_Player_4,Hyderabad,151,147,4,10,151,147
5,2008,Delhi,2008-04-28,MI,DC,DC,bat,normal,N,DC,16,0,DC_Player_7,Delhi,133,149,9,10,133,149
6,2008,Mohali,2008-04-25,DC,RR,RR,field,normal,N,DC,29,1,DC_Player_1,Mohali,202,173,9,7,202,173
7,2008,Mohali,2008-04-09,CSK,DC,DC,bat,normal,N,DC,5,1,DC_Player_10,Mohali,174,179,4,9,174,179
8,2008,Ahmedabad,2008-04-03,DEC,KKR,KKR,bat,normal,N,DEC,22,5,DEC_Player_1,Ahmedabad,189,167,5,5,189,167
9,2008,Bangalore,2008-04-29,CSK,RR,RR,bat,normal,N,RR,32,7,RR_Player_4,Bangalore,168,200,9,3,168,200
10,2008,Hyderabad,2008-04-21,PBKS,DEC,PBKS,field,normal,N,PBKS,28,6,PBKS_Player_9,Hyderabad,159,131,4,4,131,159
11,2008,Kolkata,2008-04-13,RR,PBKS,RR,bat,normal,N,PBKS,27,7,PBKS_Player_4,Kolkata,168,195,8,3,168,195
12,2008,Jaipur,2008-04-20,RR,RCB,RR,field,normal,N,RR,32,0,RR_Player_9,Jaipur,182,150,10,10,150,182
13,2008,Mumbai,2008-04-23,MI,DC,DC,bat,normal,N,DC,2,4,DC_Player_6,Mumbai,152,154,4,6,152,154
14,2008,Mumbai,2008-04-02,CSK,KKR,KKR,bat,normal,N,CSK,38,0,CSK_Player_4,Mumbai,212,174,10,7,212,174
15,2008,Mumbai,2008-04-07,CSK,DC,CSK,bat,normal,N,DC,3,5,DC_Player_4,Mumbai,185,188,9,5,185,188
16,2008,Mumbai,2008-04-16,DEC,PBKS,PBKS,field,normal,N,PBKS,10,1,PBKS_Player_10,Mumbai,163,173,5,9,163,173
17,2008,Mumbai,2008-04-20,MI,CSK,CSK,field,normal,N,MI,19,0,MI_Player_3,Mumbai,186,167,10,10,186,167
18,2008,Mohali,2008-04-14,CSK,DC,CSK,field,normal,N,DC,25,7,DC_Player_2,Mohali,164,189,5,3,189,164
19,2008,Delhi,2008-04-01,RCB,RR,RCB,bat,normal,N,RCB,8,1,RCB_Player_1,Delhi,146,138,9,5,146,138
20,2008,Bangalore,2008-04-28,RR,DEC,DEC,bat,normal,N,DEC,2,2,DEC_Player_1,Bangalore,165,167,7,8,165,167
21,2008,Mumbai,2008-04-05,DC,KKR,DC,field,normal,N,DC,6,5,DC_Player_9,Mumbai,173,167,5,6,167,173
22,2008,Mumbai,2008-04-10,RR,DC,RR,field,normal,N,DC,3,6,DC_Player_9,Mumbai,143,146,10,4,146,143
23,2008,Lucknow,2008-04-09,RCB,PBKS,PBKS,bat,normal,N,RCB,26,7,RCB_Player_1,Lucknow,176,150,3,10,176,150
24,2008,Jaipur,2008-04-08,DC,MI,DC,bat,normal,N,MI,36,4,MI_Player_1,Jaipur,151,187,7,6,151,187
25,2008,Bangalore,2008-04-17,PBKS,DEC,DEC,field,normal,N,DEC,22,6,DEC_Player_6,Bangalore,155,177,4,4,155,177
26,2008,Delhi,2008-04-30,PBKS,RR,PBKS,bat,normal,N,PBKS,4,2,PBKS_Player_4,Delhi,153,149,8,7,153,149
27,2008,Jaipur,2008-04-05,DEC,KKR,KKR,field,normal,N,DEC,28,6,DEC_Player_10,Jaipur,180,152,4,9,180,152
28,2008,Jaipur,2008-04-01,PBKS,CSK,CSK,bat,normal,N,PBKS,16,7,PBKS_Player_5,Jaipur,154,138,3,10,154,138
29,2008,Jaipur,2008-04-15,DEC,PBKS,DEC,field,normal,N,DEC,25,3,DEC_Player_5,Jaipur,151,126,7,8,126,151
30,2008,Kolkata,2008-04-05,DC,KKR,KKR,bat,normal,N,KKR,23,6,KKR_Player_6,Kolkata,135,158,4,4,135,158
31,2008,Kolkata,2008-04-28,PBKS,MI,MI,field,normal,N,MI,16,6,MI_Player_1,Kolkata,148,164,9,4,148,164
32,2008,Kolkata,2008-04-11,DEC,KKR,KKR,field,normal,N,DEC,1,7,DEC_Player_10,Kolkata,165,164,3,10,165,164
33,2008,Chennai,2008-04-04,DC,RCB,RCB,field,normal,N,RCB,34,7,RCB_Player_7,Chennai,165,199,5,3,165,199
34,2008,Chennai,2008-04-03,DC,RCB,DC,bat,normal,N,DC,24,0,DC_Player_1,Chennai,155,131,10,5,155,131
35,2008,Chennai,2008-04-17,CSK,DEC,DEC,bat,normal,N,DEC,25,7,DEC_Player_1,Chennai,143,168,5,3,143,168
36,2008,Ahmedabad,2008-04-05,RR,DC,RR,bat,normal,N,RR,20,5,RR_Player_5,Ahmedabad,179,159,5,4,179,159
37,2008,Ahmedabad,2008-04-11,KKR,RCB,KKR,field,normal,N,RCB,5,1,RCB_Player_11,Ahmedabad,169,174,5,9,174,169
38,2008,Ahmedabad,2008-04-29,MI,RCB,RCB,field,normal,N,RCB,27,6,RCB_Player_5,Ahmedabad,143,170,4,4,143,170
39,2008,Bangalore,2008-04-07,DEC,DC,DEC,field,normal,N,DEC,28,1,DEC_Player_6,Bangalore,172,144,9,5,144,172
40,2008,Lucknow,2008-04-13,RCB,DEC,DEC,field,normal,N,DEC,41,7,DEC_Player_3,Lucknow,151,192,9,3,151,192
41,2008,Ahmedabad,2008-04-16,PBKS,KKR,PBKS,bat,normal,N,KKR,13,1,KKR_Player_5,Ahmedabad,158,171,7,9,158,171
42,2008,Hyderabad,2008-04-16,KKR,RCB,KKR,field,normal,N,KKR,21,2,KKR_Player_3,Hyderabad,175,154,8,8,154,175
43,2008,Lucknow,2008-04-09,DEC,RR,RR,bat,normal,N,DEC,28,6,DEC_Player_5,Lucknow,165,137,4,6,165,137
44,2008,Delhi,2008-04-05,PBKS,CSK,PBKS,bat,normal,N,CSK,29,6,CSK_Player_3,Delhi,138,167,8,4,138,167
45,2008,Chennai,2008-04-26,MI,PBKS,PBKS,field,normal,N,MI,15,7,MI_Player_5,Chennai,171,156,3,5,171,156
46,2008,Delhi,2008-04-05,RCB,KKR,RCB,field,normal,N,KKR,6,7,KKR_Player_5,Delhi,142,148,6,3,148,142
47,2008,Hyderabad,2008-04-17,PBKS,DC,PBKS,field,normal,N,PBKS,13,4,PBKS_Player_1,Hyderabad,151,138,6,8,138,151
48,2008,Chennai,2008-04-30,KKR,DEC,DEC,bat,normal,N,KKR,1,2,KKR_Player_5,Chennai,154,153,8,6,154,153
49,2008,Ahmedabad,2008-04-02,CSK,DEC,CSK,field,normal,N,DEC,28,2,DEC_Player_2,Ahmedabad,153,181,4,8,181,153
50,2008,Bangalore,2008-04-10,PBKS,MI,MI,field,normal,N,PBKS,17,3,PBKS_Player_4,Bangalore,166,149,7,7,166,149
51,2008,Lucknow,2008-04-23,CSK,DC,DC,field,normal,N,DC,16,5,DC_Player_9,Lucknow,142,158,5,5,142,158
52,2008,Delhi,2008-04-21,DEC,KKR,KKR,field,normal,N,DEC,29,6,DEC_Player_3,Delhi,162,133,4,5,162,133
53,2008,Lucknow,2008-04-26,DC,PBKS,DC,field,normal,N,DC,26,3,DC_Player_9,Lucknow,182,156,7,5,156,182
54,2008,Ahmedabad,2008-04-15,RR,DEC,DEC,field,normal,N,DEC,17,3,DEC_Player_4,Ahmedabad,155,172,5,7,155,172
