season,venue,type,avg_first_innings_score,avg_second_innings_score,bounce_rating,turn_rating,pace_friendly,batting_friendly,dew_factor,matches_played,chasing_success_rate
2008,Mumbai,batting,155.6,152.0,7.6,3.6,6.9,7.8,8.2,8,55.8
2008,Chennai,spin,158.0,150.3,5.8,7.9,5.7,7.9,5.0,5,53.3
2008,Bangalore,batting,169.4,162.3,7.9,4.0,7.5,8.5,6.3,8,54.2
2008,Kolkata,balanced,157.2,144.9,6.6,5.5,6.3,7.9,5.6,6,54.3
2008,Hyderabad,balanced,161.5,149.4,6.8,4.9,7.0,8.1,5.7,7,49.2
2008,Delhi,batting,153.0,149.9,7.3,4.4,6.8,7.6,5.7,7,49.5
2008,Jaipur,balanced,156.5,146.1,6.3,5.8,6.5,7.8,4.3,11,57.4
2008,Mohali,batting,171.1,160.4,7.4,4.1,7.0,8.6,5.4,8,54.7
2008,Ahmedabad,batting,170.6,162.1,7.7,3.5,6.8,8.5,6.5,6,55.1
2008,Lucknow,balanced,160.0,148.2,6.4,5.2,6.2,8.0,5.8,5,53.5
2009,Mumbai,batting,171.3,167.6,8.1,4.0,6.8,8.6,7.2,7,52.3
2009,Chennai,spin,158.3,149.5,6.0,7.7,6.0,7.9,5.3,7,51.1
2009,Bangalore,batting,173.7,164.6,7.7,4.0,6.8,8.7,6.0,7,51.1
2009,Kolkata,balanced,157.5,148.0,6.6,5.1,6.2,7.9,6.0,5,51.5
2009,Hyderabad,balanced,153.7,146.3,6.8,5.1,6.4,7.7,5.6,6,50.1
2009,Delhi,batting,161.7,154.9,7.6,3.4,6.9,8.1,6.2,9,52.7
2009,Jaipur,balanced,163.2,156.2,7.0,5.2,6.6,8.2,5.1,7,48.0
2009,Mohali,batting,165.9,155.0,7.5,4.5,6.4,8.3,5.1,10,57.2
2009,Ahmedabad,batting,177.4,171.7,7.6,4.1,6.4,8.9,6.1,9,55.3
2009,Lucknow,balanced,160.6,154.1,7.1,5.9,6.1,8.0,4.8,7,53.6
2009,Pune,balanced,158.7,149.8,6.9,5.3,6.3,7.9,5.6,4,55.8
2009,Dubai,batting,164.7,155.8,7.6,3.4,7.2,8.2,7.1,4,50.0
2009,Abu Dhabi,balanced,157.7,153.0,6.4,5.3,5.7,7.9,8.6,3,57.0
2009,Sharjah,batting,170.4,162.4,7.4,3.6,6.7,8.5,7.6,5,53.9
2010,Mumbai,batting,167.3,157.6,7.9,3.7,6.8,8.4,8.0,10,51.6
2010,Chennai,spin,158.9,149.3,6.4,7.3,6.5,7.9,5.0,7,53.0
2010,Bangalore,batting,164.0,156.4,7.7,3.3,7.0,8.2,6.4,5,52.3
2010,Kolkata,balanced,161.5,149.4,6.6,5.6,6.5,8.1,5.7,7,56.9
2010,Hyderabad,balanced,164.8,155.7,6.6,5.6,6.5,8.2,6.2,6,54.1
2010,Delhi,batting,174.3,164.3,7.5,4.5,6.7,8.7,5.8,11,53.5
2010,Jaipur,balanced,164.1,157.0,6.6,6.0,5.9,8.2,5.5,9,50.1
2010,Mohali,batting,174.3,164.2,7.8,4.9,7.1,8.7,4.6,10,49.1
2010,Ahmedabad,batting,179.5,168.0,7.8,3.6,7.1,9.0,5.7,7,54.4
2010,Lucknow,balanced,157.7,153.8,6.4,5.7,6.5,7.9,5.2,8,48.4
2011,Mumbai,batting,161.8,150.0,7.8,4.6,6.5,8.1,7.7,5,51.6
2011,Chennai,spin,160.0,149.5,6.2,7.6,6.0,8.0,5.4,10,54.0
2011,Bangalore,batting,173.5,161.6,7.4,4.4,6.5,8.7,6.0,7,56.7
